Samples	AcnR	AgaR	AmtR	AraR	ArgR	BioQ	BirA	CadR-PbrR	CblR	CcpA	CsoR	CueR	CzrA	DasR	ExuR_UxuR	FUR	FabR	FadP	FadR	FixJ	FnrN_FixK	FruR	GguR	GlcC	GntR	GulR	HcpR	HexR	HisR	HrcA	HutC	HypR	Irr	IscR	KdgR	LexA	LiuQ	LiuR	LldR	LtbR	MerR	MetJ	MetR	MntR	ModE	NadQ	NagC	NagQ	NagR	NarP	NiaR	NifA	NikR	NmlR	NnrR	NorR	NrdR	NrtR	NsrR	NtrC	PaaR	PdhR	PdxR	PhnF	PhnR	Phr	PhrR	PhsR	PrpR	PsrA	PurR	QorR	RbkR	RbsR	Rex	RutR	SahR_SamR	SdaR	SiaR	SoxR	ThiR	TrpR	TtrR	TyrR	VanR	XylR	ZntR	Zur
S01_Z00	51.61881	409.98456	482.82592	121.0146	1319.43941	40.6939	1183.76594	612.2321100000001	359.58189	505.37999	127.8496	951.5014	873.049	58.73338	260.80264	2750.19386	148.35951	79.03162999999999	98.20473	81.57289999999999	458.16456	408.11074999999994	40.365	654.92074	292.71576	114.36419	173.91109	394.2966400000001	173.80835	1290.1728199999998	273.95932	131.26273999999998	79.61967	1063.5145800000005	888.2876200000001	1536.72048	127.7476	509.8195199999999	944.4327300000002	444.76034	181.39152	460.56888	1250.10243	1446.2388900000003	1621.68201	556.75161	1873.1787	190.4129	345.04652	55.63798	437.21882	89.95488	164.98610000000002	353.78189999999995	408.85879	279.04616	1429.34743	1396.4827799999996	1111.57344	455.25767	316.35551	67.39915	880.1165599999999	629.5706399999999	346.83925	406.18973	751.3012799999999	198.69273	65.4516	1032.88838	258.86272	468.95375999999993	1054.8384099999998	493.66615999999993	1227.27656	478.32888999999994	1497.5210499999998	323.15522	413.46925	517.5332500000001	449.33718	501.01564	53.331410000000005	808.3728899999999	307.26094	321.62278	46.03089000000001	2309.62536
S01_Z01	36.51289	272.45153	322.96614999999997	104.7191	1194.53887	70.6813	1157.8404400000002	512.29657	186.00239	715.09891	190.31151999999997	1237.3196199999998	1573.92444	117.08857	1045.5604	1889.95429	352.46870000000007	101.17472	65.10598	85.2089	210.58211999999995	272.94050000000004	14.4066	651.74734	553.939	306.38431	464.17491	292.7385	219.38243999999997	1027.7444999999998	225.55900000000003	162.39675999999997	123.44337	982.12859	1050.83569	2450.9353499999997	219.71909	174.84906	768.37048	232.74289	66.10108	511.4967	1262.50062	1295.67891	1599.10878	787.74628	1348.6275199999995	349.11274	257.70509	95.36894999999998	191.23081	198.046	240.09825	597.06346	1138.3502	450.28670000000005	1524.3491600000002	1613.4576600000005	1239.47682	1069.03713	623.62633	161.2984	1567.7990599999998	908.70906	1065.9483899999998	492.33852	530.57717	299.15128	138.11702	817.88031	193.60072	263.61783	682.46777	335.92010000000005	1381.2646	329.29827	1137.28419	154.96868999999998	227.91666	833.7298099999999	436.6743	700.49761	47.92258	541.5666799999999	250.08991999999995	302.07604	31.10133	2046.69832
S01_Z05	62.02839	292.02877	163.40733	191.36484	1033.93705	7.01906	1207.3397599999998	605.2847499999998	147.23651999999998	279.03623999999996	241.31592	539.0662199999999	1039.839984	11.52801	264.15905	1247.50225	174.74734999999998	155.63774	60.72312	450.36557	207.95131	260.59272	140.87799	329.811324	221.84527000000003	196.96785999999997	387.66628	234.34893	167.10808999999998	493.70081	720.6840799999999	330.55189	178.30840999999998	1315.9302	381.18526	849.51807	55.0468	460.60169	423.73266	106.00481	111.82614	152.62788	758.1058499999999	1337.43151	513.55989	282.85204	939.79557	331.42672	444.99055	141.28218	189.48155000000003	32.1075	87.06277	146.98685	202.97351	296.84739999999994	552.3557999999999	1352.93696	1113.98236	328.52087000000006	422.39221	284.73374	686.1128000000001	433.8523	136.84126	427.79823	385.64651	147.26695	221.86951	680.6826699999999	73.20518	100.99346	996.971624	197.46084999999997	674.0292499999998	749.7502	598.88341	280.09718	127.86339	215.51112	278.93674000000004	288.43318999999997	82.06575	584.88876	135.79962	304.76755999999995	291.53982	1165.54096
S02_Z00	54.81467000000001	422.48921	466.67236	152.73686	1016.19772	82.62100000000001	1463.88053	424.97046000000006	227.1208	503.14451	79.14030000000001	1008.78814	1060.59267	50.56849	635.11528	1826.30368	245.06456000000003	120.24698	102.47745999999998	87.91199999999999	331.72177999999997	276.66997000000003	41.99634	593.21657	188.13243	75.03084999999999	421.43408	334.06454	173.93962000000002	1141.72376	364.33642	188.71488	185.69728	1057.2180900000003	723.80615	1667.06328	194.9237	717.68305	633.2612199999999	260.27969	32.47541	680.7620000000001	1047.1819	1410.92275	1259.1055799999997	674.20506	1675.8812899999996	734.98889	170.61725	198.68264	443.47662	124.37679	316.34238	644.58217	733.4401	322.41625	1335.66385	1716.5008899999998	1589.7585299999998	727.2062	268.51519	61.29815	1534.72289	449.6108799999999	308.15477000000004	303.31647	533.67483	147.63280000000003	121.32477	1121.83776	56.61177000000001	235.98521	925.89334	345.84763	1452.3907800000002	547.6263399999999	1439.46708	248.41442	283.15502000000004	470.19687	446.72333	561.05957	41.70578	851.94228	170.65197	334.41648	68.53131	2064.6525199999996
S02_Z01	11.49682	279.71130999999997	366.74918	347.18047	1206.41102	65.7218	1112.26984	340.98506000000003	339.23532000000006	484.1886300000001	151.6909	554.80808	970.90903	99.1245	413.99913	2014.66657	279.57818999999995	97.3648	79.73150000000001	81.8024	283.60058	353.68032	64.0463	511.0765300000001	249.60796	82.9299	164.75553	453.82333	110.03197	684.9940099999999	476.72215000000006	166.57185	220.04991	980.41315	567.9677499999999	1473.73956	172.23010000000002	629.32466	645.82857	326.85027	54.41808	841.24464	1361.61281	1165.9486399999996	1448.67303	636.7465199999999	1248.34551	225.47153000000003	165.71073	171.65003000000002	434.2428599999999	136.6543	462.22774	481.0680300000001	592.38513	287.31426999999996	1070.7747900000002	1415.48832	1213.8897399999998	552.43609	280.61693	132.60334	1052.47378	515.6250399999999	445.0108100000001	294.59285	539.4047400000001	152.71712	117.34954000000002	710.11827	122.8895	408.91707	1209.7320099999995	369.28754	347.15519	554.4682600000001	1121.56933	178.45322	193.07272	693.35627	432.34921	712.0342999999999	33.45432	820.70922	186.49033	180.25406	39.08648	2158.32043
S02_Z03	59.21047	264.40376000000003	334.26387	160.05318999999997	1215.3903299999995	106.9211	711.2392100000001	312.44601	105.02589999999998	132.96833	60.38189	612.47353	784.4306599999999	46.79927	589.3614600000001	1307.10766	76.91289000000002	48.918	63.77717	168.0362	222.75082	186.3655	21.857100000000003	241.95648	105.62	71.85340000000001	350.38243	254.88838000000004	104.31556999999998	496.54967	204.18561	109.19031	168.20095	654.59083	343.77149000000003	1338.60295	149.65320000000003	197.80917	392.56587	142.34148	42.73344	531.6788	778.9616100000001	1222.2632299999998	820.3847499999999	406.27341	824.9672699999999	201.96466	230.35653	141.84788	244.27267000000003	21.73572	209.4228	404.20338	473.26368	207.35662	729.6460999999999	1040.46206	862.5777999999998	584.10825	199.59784	100.26845	642.3895299999999	481.99143	520.09348	249.57271	392.75101	141.84168000000005	95.29513	440.64501999999993	124.20864	224.28048999999996	750.3814100000001	226.06367000000003	631.5545500000001	441.40324	905.46495	63.66345	106.0585	441.73149	357.56587	495.30388	46.41194	573.9526500000001	227.47658	172.28136999999998	11.232	1199.78459
S02_Z05	57.03489	376.32464	242.6433	320.06668	991.59122	11.2827	1363.7795000000003	548.4069800000001	89.64319	216.95076000000003	201.42105	597.7038000000001	963.59226	74.59262000000001	281.58319	1595.7557700000004	227.70918	40.68996	317.12427	42.54963	299.30806999999993	479.0434	177.6824	222.73631	415.60648	225.89725	304.63031	226.90146	145.68454	733.3175199999997	835.5893500000001	310.32119	196.86968	1499.89808	282.32417999999996	1216.12771	99.09437	292.70207999999997	757.6146099999999	222.0970399999999	181.84351	216.35573	1127.20529	1116.9479700000002	1092.78749	426.64104	685.13319	428.74565000000007	289.35089	151.29426	46.42572	69.12138	64.15927	232.97061	255.60078999999996	313.9687400000001	1116.17841	1703.15762	868.4809000000002	664.29069	297.25902999999994	260.83124	851.05038	675.8052499999999	349.12187	493.4931600000001	274.92662	70.02735	267.77801	900.2188999999998	49.82455	166.94165	853.9321399999999	245.28422	1088.42646	646.43118	904.56362	325.58446999999995	92.82506	314.40308999999996	344.98799999999994	231.43997	134.6965	481.7394900000001	212.99482000000003	200.96631999999997	251.98129	1761.61753
S03_Z00	47.07511	323.26388	740.7517699999999	125.3233	1063.3327900000002	53.7056	1055.0019000000002	218.97976000000003	184.47419	142.09014	79.2652	1658.20381	980.90954	77.42004999999999	503.2285600000001	1310.91314	232.2831	78.68859	93.8711	123.03459999999998	419.4977999999999	282.59114	41.2632	510.85132	152.18975999999998	31.15472	412.44603	203.26488	128.43655	822.3192500000001	504.89351	91.00336	109.37918	752.6328500000001	572.7093199999999	1468.5306799999998	210.45732000000004	408.43109	787.07976	428.02552999999995	102.71363	794.30472	1387.65247	1001.29134	1265.6156500000002	510.56286	1135.914	307.33295	336.5764199999999	212.49679	291.49708	46.15186	362.12162	963.42191	855.1528900000001	280.77235	982.14269	1340.84643	1070.57451	932.1233100000002	254.54525	126.01279	1235.75908	640.4179800000002	779.58303	239.38901	481.65647	72.3072	91.8425	943.65193	57.20152	400.02193	657.18969	308.28015000000005	641.98129	524.1826199999999	1027.31456	160.64833000000002	199.61629	818.58312	256.12518	719.7255900000001	108.43435	428.51915	276.92526000000004	188.74528	0.0	1928.57138
S03_Z01	27.30771	146.40436999999997	344.37884	40.0778	922.89134	30.75153	716.44029	380.10317	103.45300000000002	182.22762	84.10712999999998	936.08464	577.2439199999999	70.83523	163.29006999999996	1380.09271	120.48292	58.0068	23.44551	67.9031	248.30645	170.92039	22.528	489.41227	96.34929	202.88950999999997	160.8196	160.66505999999998	93.96701000000002	445.5153800000001	178.63743	82.96672	108.03824	613.8827600000001	326.87724	972.8553	123.62932	398.81231	664.88853	196.40408	30.44753	562.29123	858.32588	873.9880800000001	904.5402	256.35227000000003	793.19747	202.2897	71.6018	74.72134	157.97721	77.33032	136.99133999999998	395.42728000000005	499.84295	220.31998999999996	752.57771	1261.6445599999995	783.09525	391.79022	493.7756800000001	85.81574999999998	922.7847	280.66393000000005	338.82868	132.55003	327.38454	65.8386	72.6532	823.2595399999999	112.4728	232.9741	223.50343	205.25184	696.76881	271.77216999999996	641.2097799999999	62.19662000000001	48.44388	589.71344	211.8906	433.3314600000001	92.03444	298.5575400000001	240.35655	222.09191	181.0621	1547.8291200000003
S03_Z03	10.241230000000002	271.51189	414.68883	277.34141	1380.5067800000004	87.64704	1253.28055	123.64658	364.94784	505.18438	148.13691	790.76011	1356.83696	89.6975	324.38471	1906.48199	265.05721	82.56676	161.10888	180.31453	355.74118000000004	249.73405	50.8198	692.8129399999999	191.72836	94.74335	383.47838	462.71024	304.53392	598.4360300000001	1294.75416	213.15713	56.78467	964.12485	573.48506	1613.6384799999998	179.25457000000003	461.43048	526.49676	234.32957000000005	133.91962	527.43037	1302.10437	1012.2494800000002	1149.68981	527.09211	1373.3472700000002	209.17771999999997	539.8875300000001	103.7805	1447.22831	75.61738	166.92031999999998	423.98737000000006	1006.8427800000002	749.51393	1360.1719999999998	1458.56598	787.7463000000001	614.50292	362.11029	122.30202	892.1774700000001	666.27135	326.29290000000003	501.31537999999995	342.03211000000005	149.04500000000002	60.96436	767.32889	98.91574	254.74391999999995	770.69622	393.25344	715.2786100000001	487.0700399999999	1171.8749400000002	239.98742	282.65788999999995	355.80715	410.4852800000001	714.3966999999999	69.31192	660.96333	293.36003	278.92093	17.9133	1729.7504799999997
