Samples	AcnR	AgaR	AmtR	AraR	ArgR	BioQ	BirA	CadR-PbrR	CblR	CcpA	CsoR	CueR	CzrA	DasR	ExuR_UxuR	FUR	FabR	FadP	FadR	FixJ	FnrN_FixK	FruR	GguR	GlcC	GntR	GulR	HcpR	HexR	HisR	HrcA	HutC	HypR	Irr	IscR	KdgR	LexA	LiuQ	LiuR	LldR	LtbR	MerR	MetJ	MetR	MntR	ModE	NadQ	NagC	NagQ	NagR	NarP	NiaR	NifA	NikR	NmlR	NnrR	NorR	NrdR	NrtR	NsrR	NtrC	PaaR	PdhR	PdxR	PhnF	PhnR	Phr	PhrR	PhsR	PrpR	PsrA	PurR	QorR	RbkR	RbsR	Rex	RutR	SahR_SamR	SdaR	SiaR	SoxR	ThiR	TrpR	TtrR	TyrR	VanR	XylR	ZntR	Zur
S01_Z00	120.0344	1065.99314	1016.18985	672.3397500000001	7902.03065	313.39087	3176.0630100000008	1382.7633700000004	771.38992	1556.4684699999998	719.0893000000001	1704.0514999999996	3469.510920000001	690.89234	1148.6188899999995	9333.595480000002	855.1548199999999	225.4685	732.0606700000001	53.65399	926.37358	1170.0970099999995	188.089	1350.68897	1366.59912	410.6150200000001	739.79999	2524.3036799999995	661.7765400000001	1465.19236	2641.81893	1039.28514	351.49242000000004	3439.34291	2580.77035	4225.962329999999	351.08815	853.903	2345.6067099999996	568.12973	887.8205	230.11842	4137.60356	4948.16646	4557.76299	2047.6110899999996	6035.619630000001	2002.95534	1215.8009699999998	487.56045	853.2016800000001	300.3129	1219.2755700000002	958.6769400000002	1414.29898	1501.17106	3192.78081	10367.751760000005	5156.973219999999	4498.77145	1440.63311	974.51329	4525.842900000001	819.78647	1720.8942000000004	3051.97874	582.6176700000001	511.23874	1085.49809	2237.45451	62.96675	730.3689500000002	1618.35518	1404.1818500000002	2798.8637800000006	2994.43103	4895.2649200000005	1964.7844399999992	733.0763499999999	1335.20141	1823.32205	582.9724400000001	356.80787	1013.7496700000002	1038.65125	970.06625	1228.97862	9489.0334
S01_Z01	515.12401	1307.21065	505.34915	1029.6027800000002	9241.86185	311.44211	4614.276449999999	1473.38778	691.20309	1900.8275099999996	571.91041	1935.7866099999992	4371.98812	369.01321	1658.4520399999997	9742.24261	1140.36563	160.79621999999998	965.52874	116.45424	1999.96062	1283.64031	116.95884	1346.0180599999997	2313.6241200000004	394.1268199999999	1365.1678800000004	2205.622980000001	831.90219	2191.41291	2143.7594	1383.56871	397.19967	4177.2107	2459.4995599999997	5536.803589999999	648.0910100000001	790.03279	2824.31255	679.5596099999999	1297.0892599999995	391.25856	5480.576940000001	5428.4893600000005	5923.447229999998	1781.27351	6148.468080000001	1869.2159400000005	1023.69525	407.98137	953.4085	415.4230799999999	874.76155	474.90507	3233.21182	1864.63284	4023.09893	9401.88792	4346.140719999999	4711.138540000002	1761.00735	1216.9311099999998	5111.14098	973.51585	1410.14275	3847.67714	694.71296	350.53513999999996	845.62401	2719.252170000001	108.30754	681.3979799999998	1622.6239300000004	2006.9688800000004	2855.6907699999992	4113.97423	3899.364240000001	2448.7949600000006	509.5449500000001	1348.5446	1993.25229	833.9637000000001	228.27713000000003	1250.99393	1194.45605	969.12519	872.9760699999998	10668.752249999994
S01_Z05	438.05081	785.8589099999999	420.8659200000001	413.96557	4863.973379999999	129.00838000000002	3002.372440000001	1637.9676900000004	586.33644	778.18809	255.37568	1653.14486	1935.4488000000008	200.50668	911.45186	5193.2608500000015	544.3607299999999	151.41473000000002	265.67869	161.09446	659.7748200000001	607.6597399999998	186.4526	959.1215599999998	1101.2359	607.90522	974.81212	1426.7578	636.8138900000001	1239.2217500000004	917.89987	558.50914	464.38749000000007	2467.5047600000003	2009.4720699999996	2590.77527	95.11012	445.96575	1329.4183799999998	601.6875099999999	353.09954	200.92664	3641.46941	3817.42414	2845.2097499999995	745.8918500000001	3574.8789100000004	1411.01869	1047.03607	316.87898999999993	379.51936	304.81259	172.05998999999997	738.81673	597.39055	1067.85202	2324.2768499999997	6716.377919999998	3380.63473	1518.5449999999998	980.32415	755.65969	3313.26401	691.0622299999998	914.46127	2116.7017600000004	308.08701	173.56503999999998	348.59817	1586.5219799999995	127.18613000000002	241.23615	1286.1641699999998	600.8378499999999	2180.9013199999995	1424.1198	2556.82603	1368.56796	500.87292	690.30522	1402.04463	777.5672499999998	245.62909999999997	669.5005099999998	278.33477999999997	413.9486700000001	751.0023100000002	6137.020289999999
S02_Z00	174.23080000000002	1993.46415	1086.72327	952.45398	8437.756729999996	344.78619	3882.672889999999	1903.2087500000005	605.9652500000001	1890.7025500000004	602.31256	1991.15689	4532.573419999998	661.62648	1455.53202	9214.67126	730.66232	262.77334	341.59618	177.56703000000002	1545.9764300000002	1248.23927	107.43649	1347.7297800000003	1857.53211	406.73662	1271.41277	1856.8891200000007	868.9123700000001	1649.3825	2404.3066900000003	892.9005299999998	363.98404	4380.1582499999995	3263.4669	3873.1441800000007	414.77523	1456.6043700000005	3115.903369999999	572.68793	1309.7241000000004	455.32336	3895.511049999999	4740.10833	5298.35027	2018.31445	7484.532920000001	2042.6527500000004	1234.19036	294.7991	1132.3103599999995	681.4781300000001	1377.7896300000002	820.5001699999998	2435.869670000001	1284.90247	3340.8484699999995	9974.5339	5194.828600000002	3580.71115	2047.5897	1589.30784	4080.874780000001	851.81212	1302.52921	3976.279520000001	550.15837	561.3761299999999	775.25554	1958.81677	76.25571	387.5742900000001	1694.1103900000005	1601.4522099999997	2902.2620500000007	3406.516330000001	4352.268830000002	1659.1455099999998	548.34344	1115.63496	2419.91249	874.66245	347.3754799999999	1288.5996899999998	1221.15796	820.6065899999999	718.8833900000002	10474.39641
S02_Z01	339.75018	1087.6094200000002	574.2554899999999	649.2088499999999	7969.590849999999	170.01128	2911.80004	1519.95399	475.96821000000006	1288.36955	611.789	1651.53912	3567.9519200000004	1184.7026999999998	1163.27337	8428.170149999998	1625.26021	132.75006	606.03899	126.3788	1664.34686	1177.48396	171.17434	1136.86111	1300.05524	278.42572	1185.01294	1737.6868800000004	619.44219	1555.7702699999998	2042.81362	817.4635199999999	392.9875599999999	3437.6608899999997	1880.4509499999997	2918.9035299999996	508.03218	941.4525199999998	2797.4151300000003	549.59974	1336.75763	333.20814	4142.08746	3728.917560000001	5100.9142200000015	1575.555	5664.142109999999	1347.72568	1502.0964399999998	437.0110499999999	834.1979699999999	556.2806999999999	967.18956	758.7745600000002	1895.5289	1778.25332	3380.627980000001	8509.366549999999	4676.813950000002	3758.096719999999	2014.6609200000005	1608.3430900000003	3675.9045500000007	721.4088899999998	1371.9678	2946.7553699999994	529.3253100000001	566.3472200000001	806.9278499999998	1827.32649	71.22886	867.37185	1471.72468	1212.60308	2258.6714800000004	2501.054800000001	3573.47029	1424.01157	579.42748	1353.49038	1813.86716	592.5235199999998	213.07515999999995	1394.1423399999996	750.0809799999998	676.92105	657.89376	8384.143330000003
S02_Z03	118.68556999999998	831.5342700000001	724.84843	815.4449399999999	5366.737969999998	288.14619999999996	2862.8587999999995	1308.07346	415.7416500000001	897.1210199999999	374.53883	1188.0593	2645.87822	368.69348	1208.2610899999995	6716.297859999997	477.2744700000001	219.96069	260.39724	120.28198	1104.8185199999998	908.5857099999998	126.50565	749.56929	1299.10571	318.44437	1022.01616	1257.19265	570.8401	1150.3222800000003	1625.42778	671.21583	387.64587	2565.00721	1978.4997100000005	3212.5408	458.30827	677.87756	2131.68078	368.69699999999995	351.83175	332.02052000000003	3011.07171	3277.57742	3723.2506	1132.18993	4198.145950000001	867.58607	952.91409	291.18901	640.0887100000001	521.17829	704.93245	485.91338999999994	1480.23402	1157.4793600000005	2848.4412200000015	6479.603220000002	3673.255020000001	2553.02421	1321.7821399999996	862.9460900000001	2784.6918799999985	730.14457	1209.96861	1989.85167	393.44037	209.56357000000003	639.9360800000001	1670.66119	71.62039	589.4810299999999	1401.6098000000004	1343.7726300000002	1652.6731800000002	2143.4689200000003	2646.56684	1185.49214	352.31491	650.24822	1667.0353799999996	507.15978	81.72323	1028.05194	841.1403599999999	454.1068499999999	344.97015	6743.539659999999
S02_Z05	137.45542999999998	1013.38603	843.8337299999998	647.05772	5353.803320000002	254.07215	3353.963262	1857.98353	1094.92826	787.5274099999998	666.52807	2171.0890999999997	1864.7988600000003	213.38216999999997	1436.9365200000002	6331.192630000001	682.1772299999998	128.90992	573.8489400000001	196.77139	1067.28677	752.4846399999999	109.82595999999998	633.44681	1468.9341299999996	518.3343299999999	860.8922299999998	1210.5713099999998	1062.89071	1957.75154	1373.9740399999998	658.5362200000002	665.3044400000001	3008.3062899999986	2135.9361700000004	2920.7297300000005	207.07227000000003	817.65609	1979.3236199999997	737.4291400000002	776.47573	329.4561800000001	3597.81265	4351.26224	3109.967259999999	1080.0254199999997	3449.55475	1365.4438999999998	1023.3693899999998	490.25658	638.2714699999999	629.86741	421.80571	1223.7587400000002	1211.97086	998.38633	2642.7611599999996	7244.86922	3992.69163	2559.0787900000005	1328.9699199999998	878.2519799999999	4375.289610000001	1377.1478700000005	1493.5510600000002	1938.17928	387.58129	457.6815800000001	596.99045	1586.0574199999996	279.17064	487.36865	1513.23456	1201.80129	2350.06755	2226.63208	2689.13257	1347.0892399999998	627.7158199999999	848.3047900000001	1787.9286600000005	867.98795	330.68776	1236.02734	353.6012100000001	633.65606	689.2958600000001	7392.7446500000015
S03_Z00	159.56233000000003	954.77519	610.0582899999999	634.6693699999998	5004.201540000001	187.88568	2268.12885	972.31285	378.3567	945.23946	342.00741000000005	1478.96844	2343.79211	292.45483	676.3259499999999	6414.490999999999	376.13907000000006	49.637	590.2775899999999	113.82088	1162.02395	1024.5936499999998	155.5507	1172.0927800000002	1186.8207500000003	243.33160000000004	857.5742700000001	1390.34862	505.63398000000007	981.35389	1417.9142000000002	584.94205	350.22839	2342.3467299999993	1848.41356	2389.30893	473.47907	616.62485	2004.9000099999992	409.5195499999999	604.3753800000002	347.79312999999996	3122.4958699999997	2952.105420000001	4007.01946	1065.1428300000002	3670.60524	1103.70297	889.8698300000003	385.6041699999999	523.2989600000001	696.2302399999999	712.53214	514.12376	1296.3281100000002	1055.6304099999998	3067.70174	6107.7912000000015	3463.91294	2457.12466	1094.5876200000002	1066.20671	3028.0726	733.46957	1324.82615	1977.1276499999997	256.14119	168.40768	512.1957699999999	1309.5608699999998	31.36656	701.2464099999997	1137.7562999999998	1052.34477	1995.19753	3028.6310099999987	2285.6002599999993	1639.7322199999996	330.52476	756.28359	1395.5373300000003	572.5820199999998	206.07405999999995	666.89116	873.01049	634.1958000000001	509.80871	6590.7262
S03_Z01	441.77624	702.9022500000002	628.30173	799.3583300000001	3966.973089999999	189.17971	2349.2817599999994	983.85657	321.96691000000004	879.1302300000001	342.05114999999995	756.7247500000001	2158.95549	342.68159	922.04034	6147.57532	772.09276	66.91404999999999	220.00594	76.8009	839.2921699999998	677.2637300000001	72.32509999999999	627.20863	549.61736	158.67596	503.02686	802.1528600000001	371.03672	964.18932	977.5117699999998	501.94506999999993	264.82811999999996	2392.869010000001	1187.44845	2317.33411	204.72569	567.6939199999998	1647.2617299999995	238.52738	704.95877	227.38525	2745.2564300000004	2614.1327100000008	2356.3598899999997	860.9118400000001	3627.878619999999	915.78795	609.07856	382.8186600000001	419.73123	348.73213999999996	501.68423	684.8147000000001	1676.04447	732.8926700000001	1781.5184700000004	5268.25601	3005.21023	2654.85345	795.27473	740.17577	2987.3242100000007	628.6257	1155.7719400000003	1803.1630200000004	268.17127	199.99702	531.21079	861.2149499999998	34.65411	401.80974	1086.3135	771.65277	1244.9548	2157.8493599999997	1827.0323900000003	1262.3571899999995	273.66549000000003	510.9463899999999	1240.1601300000004	559.5884	142.73454	615.3657800000002	748.3385	785.18659	304.75304	5510.2258600000005
S03_Z03	202.3865	1095.46573	719.66841	907.5488100000002	5786.001910000001	249.86987999999997	3490.3166699999997	1349.50979	798.3096200000001	1059.95341	577.28463	1577.7211	3302.4248199999993	408.52541	1046.62465	8267.37577	576.3174000000001	177.83495	711.32055	105.1152	1512.2272999999998	860.9463900000001	125.72096	1165.70374	1378.4596299999998	300.65389	1442.17457	1711.6531200000004	552.30144	1175.3572500000002	2058.4841300000003	718.5926000000001	413.5869800000001	3765.15346	2255.1693600000003	3020.16676	422.87385	1078.68831	2238.5819300000003	571.48554	810.0735300000002	314.42306	3967.52384	4119.8551800000005	4269.386230000001	1362.69799	5133.345980000001	1344.2237599999994	872.2921499999999	313.53555	839.1588500000001	604.58997	591.26822	619.65064	1879.85757	1084.44907	2454.2766799999995	7895.34931	4256.069530000001	2844.6717299999996	1482.2851899999996	921.42286	2847.148099999999	1010.78173	1601.7397500000002	2372.8314699999987	726.1064600000002	364.42808	555.7246700000001	1721.65821	206.0969	334.32848999999993	1733.63982	1097.6971399999998	2140.6998999999996	2885.3391799999995	2856.92948	1567.3168900000005	327.45712999999995	940.1521600000002	2107.36206	779.01932	289.48048	1060.42722	647.10041	630.2154700000001	853.2346899999999	7964.969379999999
