Samples	acr3	amt1	amtb	arsr	cara	carb	chra	cira	cyns	dada	dpsa	expd	fepb	fepc	foca	fur	futa	gap1	gdha	glna	glnb	glsf	isib	moaa	moab	moac	moad	moae	moba	moea	nadb	napa	narb	nira	ntca	phnd	phoa	phob	phoe	phor	phox	ppa	ppk	ppx	psta	pstb	pstc	psts	ptra	spea	speb	sqdb	thio	tolq	tonb	urea	ureb	urec	ured	uree	uref	ureg	urta
S01_Z00	132.25343999999998	391.511	2348.9073300000005	198.9303	5821.285710000001	5190.364260000001	193.28456999999997	0.0	452.88364	2298.1435600000004	0.0	0.0	0.0	61.411	12.8136	6625.161889999999	0.0	271.53951	3071.84958	4017.5914500000017	2948.432640000001	248.762	265.84123999999997	3255.755089999999	2353.7077200000003	3242.5336000000007	3204.01015	2669.308969999999	2636.8196	3590.92219	1954.48054	0.0	395.6635	109.2255	411.24625	210.73968	933.58523	1436.60425	0.0	3008.15963	94.58345	697.76339	1852.34987	2127.598480000001	887.5819299999999	1105.5093600000005	808.2295599999999	1494.1425999999994	164.58037000000002	1393.66635	3100.7191799999996	285.6938	973.9768200000004	2162.5148099999997	557.57731	778.27843	727.09384	690.42267	831.30397	543.25742	579.2679999999999	419.3017700000001	485.35075000000006
S01_Z01	158.93999000000002	128.38909	2407.23777	158.49528999999998	6808.915510000002	4930.50579	321.41241	9.84432	743.50983	2769.516819999999	0.0	0.0	0.0	82.236	0.0	8408.94623	0.0	413.1635399999999	3079.2666599999993	4032.26193	3094.2139399999996	422.0536	510.33938000000006	4089.49632	2218.015520000001	3996.99333	4354.94998	3521.562650000001	4045.4126699999983	4552.673669999999	1948.05463	975.6126	188.6565	489.2122	477.2838	510.5388	566.27136	1514.7772899999998	0.0	2562.7184899999997	73.7736	1157.7796400000002	1625.4187599999998	3707.5654799999984	938.01215	1218.9836200000002	739.3981899999999	1134.6525299999998	226.12420000000003	974.2968	2015.52499	197.27535	1229.7076100000002	2938.8142300000004	596.1250999999999	844.74952	733.82803	530.21757	801.0533100000002	657.0300800000001	480.72158	611.57914	1016.0066
S01_Z05	8.09798	11.3582	1203.83586	522.1687	4089.621590000003	2983.396780000001	59.11242	28.33676	118.37302	2573.8857700000012	0.0	0.0	0.0	11.93296	0.0	3959.094719999999	0.0	80.4246	1526.2654399999994	2192.124059999999	1201.00752	41.6922	61.7399	3143.325520000001	1735.5362799999998	3750.66431	2390.4465200000004	2531.004919999999	3278.7961300000006	2563.5426699999994	1302.4711199999997	41.95513	3.08955	54.03983	9.18806	269.06602000000004	261.12694000000005	461.39939000000015	0.0	653.3674199999999	126.39771000000002	410.13054	371.32314000000014	434.57697999999993	143.2736	214.17599999999996	213.67844	515.90738	237.5048	151.01996	1852.2431799999997	32.27202	366.56151	1762.7367899999988	442.02135	277.46680999999995	251.18658	245.0664	985.92909	285.4651799999999	887.3659100000002	1418.8396200000002	182.37199
S02_Z00	168.74247	136.0847	2276.1395799999996	214.46194999999997	6106.142309999998	4661.7200299999995	208.10565000000005	18.34159	637.8527000000001	3008.3432199999993	0.0	0.0	0.0	55.21069	0.0	7977.286090000003	0.0	369.1051	2741.11357	4079.203259999999	2766.0631	19.25561	350.10197	3124.70357	1983.3925100000004	3179.5361399999997	3518.1920600000008	3414.8343	4133.91632	4455.59851	2237.6730099999995	332.35949	150.97954	511.6769000000001	384.2262	581.88719	962.7397500000002	1223.7421199999997	0.0	2679.7161800000003	178.0298	702.26588	1580.50184	2476.61317	1178.35709	1003.76971	752.19525	1174.59006	198.60996	1148.14598	2376.42051	135.23919999999998	1650.7098299999998	2240.65877	648.1086900000001	603.0133999999999	521.07668	494.4514400000001	670.30135	411.84376	433.12462	332.04832	314.03961
S02_Z01	106.84982	138.27620000000002	1854.9101699999997	161.86409	5420.049640000004	4072.82526	277.51948	0.0	473.83331	1712.291779999999	7.01118	0.0	0.0	61.86863	0.0	6773.068199999998	0.0	360.08778	2715.4689499999986	3969.419439999998	2816.7860199999996	317.214	289.49201	2667.597089999999	1838.83907	2811.033629999999	3646.8904200000006	2330.47657	2982.9417300000005	3492.5776499999997	1825.9464799999992	322.8138	138.28879999999998	411.7362	532.1038	488.67789	858.81453	1158.9526200000005	0.0	2258.2807100000005	152.6197	816.12629	1198.25537	2019.88268	701.6161500000001	762.2698200000003	644.86273	976.46965	164.18630000000002	784.2754900000001	1898.88659	28.70475	1198.680649999999	1821.88459	466.79893	518.05752	440.5318	198.69672999999997	584.9549099999999	265.13513	356.9688700000001	391.37428000000006	382.45683
S02_Z03	64.8475	129.17148	1479.9587399999998	138.93608999999998	5094.735620000002	3671.861310000001	126.18803	7.0	483.5670500000001	1712.1630999999998	2.61111	0.0	0.0	35.39571	0.0	5381.275989999997	0.0	217.7057	2019.62683	2621.10411	2156.57975	11.1122	178.7356	2479.2239600000003	1161.0555700000002	2519.7821999999987	2697.0888499999996	2711.85677	2785.346079999999	2803.524960000001	1248.5974600000002	441.4149	181.95246	391.6953	406.3473	513.3198	540.62013	793.8333299999999	0.0	1677.7489000000007	81.58491000000001	371.36702	1117.0963700000004	1648.3101600000005	499.04486	463.49546	445.92224	613.5079199999999	173.88670000000002	599.43271	1482.3751900000002	446.96281	733.81622	1618.1868000000002	410.8270199999999	668.1190499999999	457.29131	317.03270999999995	541.2963900000001	296.99845000000005	308.50747	544.96571	172.20918
S02_Z05	18.6213	10.57169	1963.2386100000003	495.54961	5082.905360000005	3813.1920299999992	175.55354	0.0	133.15216	2210.7353800000014	0.0	0.0	0.0	16.7185	13.07201	4755.728520000003	20.7772	428.28413	1803.7433800000003	2938.6021000000005	1750.8067300000007	41.71396	106.64872	4064.2132099999985	1814.8885900000007	3539.033050000002	2982.287609999999	3493.96335	4203.490282000002	3076.958680000002	1251.44847	122.48652	17.27833	78.18086	42.13289	318.69320000000005	257.1040899999999	582.6696299999999	7.06252	749.05854	191.16457000000003	592.98299	510.67549000000014	773.5946499999999	523.6762100000002	500.58662	549.5552200000001	824.46118	293.00479999999993	309.7201999999999	2695.8121200000005	90.51942	625.5633600000002	1973.106900000001	267.1651	739.94839	402.65608	388.58143999999993	1011.39004	358.87187	723.77176	1196.6038500000004	166.69906
S03_Z00	41.909220000000005	112.433	1627.4183300000004	157.93928	3791.072329999998	3180.8019800000015	222.27863	0.0	636.0780900000001	1569.2611799999995	0.0	0.0	0.0	40.384	0.0	4917.0243299999975	0.0	404.197	1803.61771	2583.642720000001	2337.85449	433.0359	511.80909	2654.16515	1736.21088	2216.1215100000004	2544.0714900000003	2440.1009000000004	2522.983139999999	2657.68916	1530.6433100000004	563.32152	243.4907	458.4773	816.8542	594.3023800000001	600.79993	768.48335	0.0	1482.7370600000004	89.73575	529.77265	1163.04959	1615.5064099999995	460.42068	565.0668800000001	415.4471	674.62831	174.86519	710.5805200000001	1560.38388	112.52002000000002	1132.0472800000002	1391.86619	440.32792000000006	334.12244999999996	272.9865	266.98316	527.5714	327.07379000000003	320.40049	235.9145	419.7769200000001
S03_Z01	38.61348	119.6001	1203.8617799999995	120.99533	3740.73136	2478.895170000001	150.38978999999998	6.50827	422.07896	1759.2355999999995	0.0	0.0	0.0	27.67476	0.0	4315.905839999998	0.0	67.5561	1515.8570699999998	2356.0613200000003	1482.97453	15.1235	217.88804	2080.70964	1365.65365	2012.6467300000008	2433.960360000001	2326.177530000001	2389.5049699999995	2679.736889999999	1012.8989400000002	267.1376	154.5315	259.52828	425.73482	448.53238	406.02069000000006	579.4844800000002	0.0	1039.95182	86.05798	491.3821399999999	967.4752100000002	1727.18117	471.95237	386.39471	297.46547999999996	498.7291699999999	113.6183	390.51151	1419.87638	400.8233	613.2174200000001	1555.6285800000005	206.91867	426.37552	392.32688	303.27557	439.6782	301.48277	267.75772	266.32317	306.27269999999993
S03_Z03	39.0748	81.20479	1680.4743899999996	187.69930999999997	5056.7704300000005	3853.246039999998	223.43145	12.6201	481.86954999999995	2424.552640000001	0.0	0.0	0.0	24.75836	0.0	5955.736829999997	2.89124	375.17057	2125.86238	2933.292019999999	2067.140540000001	262.18352000000004	272.93407	3305.5383700000016	2300.910320000001	3139.948800000001	3406.2262100000025	2643.872140000002	3306.704319999997	3115.2830300000005	1875.56011	529.367	396.2649	395.85546	317.24060000000003	377.13137000000006	630.3190799999999	1016.07205	0.0	1692.37109	165.62766	803.3142600000001	1199.2650299999996	1792.9635399999995	646.48045	550.1465300000001	607.4001899999998	813.3489200000002	216.60345999999996	635.0915799999999	2184.803540000001	152.46439	843.8393400000001	1879.6895599999996	384.6884399999999	712.9272400000001	473.84622	406.2778799999999	987.95385	528.41768	366.96982	785.4935200000001	542.79199
