	Depth	Temperature	Salinity	Density	Oxygen	Fluorescence	Orthophosphate	Silicic acid	Nitrite	Nitrates	Nitrate	NP
count	159.0	159.0	159.0	159.0	159.0	159.0	159.0	159.0	159.0	159.0	159.0	159.0
mean	112.28301886792453	11.741050943396225	32.73507547169811	1025.3572503144655	68.72010314465409	4.8675	117.77606918238996	58.92093081761006	126.74527044025157	21.527534591194968	25.934188679245285	9.724698113207548
std	154.7817218494382	3.1342643292612515	5.226391429467833	4.388281997214021	186.2478146421938	6.426715446694742	265.97532076953524	174.14124595580304	178.14123565226987	31.29428957145416	52.5530653425743	3.5331847840742965
min	1.0	5.081	1.77	1001.039	0.0	1.135	0.59	0.31	0.01	0.05	1.681	0.051
25%	20.0	10.057500000000001	33.54	1025.2295	4.0435	1.355	1.6745	4.9125	14.5	12.301	11.8085	8.006499999999999
50%	50.0	11.426	34.28	1026.1221	5.182	1.799	2.38	12.525	43.0	20.151	20.132	10.44
75%	150.0	13.375	34.52	1027.057	6.368499999999999	5.904999999999999	2.9325	22.9675	204.0	26.115000000000002	26.9385	12.066500000000001
max	600.0	20.649	35.18	1029.822	952.0	47.632	947.0	943.0	867.0	393.0	545.0	16.927
