Samples	Depth [m]	Temperature [ºC]	Salinity [PSU]	Density [kg/m3]	Oxygen [ml/l]	Oxygen [%]	Fluorescence [mg/m3]	Orthophosphate [uM]	Silicic-acid [uM]	Nitrite [uM]	Nitrates [uM]	Nitrate [uM]	NP ratio
S14_Z05	80	10.529	33.87	1026.342	4.769	75.83	1.42	1.374	3.267	0.044	17.09	17.046	12.435
S14_Z07	150	9.594	34.23	1027.108	2.516	39.301	1.261	2.105	13.625	0.041	27.55	27.51	13.088
S14_Z09	450	5.804	34.236	1029.062	4.915	70.458	1.19	1.91	11.085	0.017	27.615	27.599	14.458
S15_Z00	1	13.443	33.55	1025.195	5.786	97.615	4.33	0.728	1.388	0.189	7.16	6.971	9.835
S15_Z01	20	13.2889	33.56	1025.3101	5.7349	96.4549	6.7542	0.938	1.545	0.321	9.74	9.419	10.384
S15_Z03	50	10.9005	33.84	1026.1221	5.067	81.2092	1.9182	1.345	3.385	0.129	17.77	17.642	13.212
S15_Z05	80	10.1922	33.94	1026.4597	4.5991	72.6409	1.3932	1.476	4.14	0.056	19.085	19.03	12.935
S15_Z07	150	9.3565	34.27	1027.1759	2.2074	34.3071	1.3299	2.428	17.41	0.06	31.74	31.681	13.072
S16_Z00	1	11.757	33.7	1025.63	5.867	95.626	8.009	1.176	3.19	0.282	13.207	12.925	11.233
S16_Z01	20	11.35	33.73	1025.818	7.602	122.931	6.23	1.161	2.71	0.285	13.747	13.462	11.84
S16_Z03	50	10.119	33.86	1026.274	5.911	93.174	1.551	1.348	3.019	0.1	17.318	17.217	12.843
S16_Z05	80	9.996	34.08	1026.602	4.031	63.458	1.407	2.039	8.192	0.05	24.73	24.681	12.131
S16_Z07	150	9.868	34.49	1027.263	0.373	5.869	1.404	3.014	23.85	0.038	29.8	29.762	9.887
S17_Z00	1	12.201	34.31	1026.02	4.468	73.823	5.621	1.746	6.05	0.614	17.093	16.479	9.788
S17_Z01	20	12.183	34.31	1026.111	4.462	73.696	8.505	2.292	11.84	0.092	25.563	25.47	11.154
S17_Z03	50	11.509	34.26	1026.337	3.067	49.925	3.622	2.081	8.68	0.064	23.78	23.716	11.427
S17_Z05	80	11.112	34.52	1026.747	0.6	9.699	1.371	2.628	15.705	0.043	28.745	28.703	10.94
